"","countyFIPS","percap_personal_income_2020","household_size","median_age_2019","total_votes","pop_65_plus_ratio","urban_code_2013","perc_b","total_deaths_per_1000","perc_trump"
"53",107,37678,2.58,36.9,9510,0.167325720886835,6,35.5649278579356,152.097669256382,68.937960042061
"54",109,37408,2.55,37.6,4247,0.165632637713856,6,30.3532939743229,141.692437447287,68.0009418412997
"55",111,39796,2.37,52.1,14848,0.308359413295125,6,0.829553824088072,160.871419157266,81.963900862069
"56",113,71384,2.79,43.4,72110,0.194420700909162,2,24.862608328049,149.387021771296,52.7305505477742
"57",115,41238,2.6,38.3,41052,0.172934160885968,4,15.6760901794387,234.691477940801,69.8796648153561
"58",117,67859,2.98,38.5,129295,0.125227728455991,2,4.77082056592211,186.542972464656,65.8509609807031
"59",119,35134,2.64,41.2,10763,0.195498638529612,6,10.0282424505757,190.310666956333,84.2887670723776
"60",121,95683,2.47,35.5,525293,0.123175936187236,1,45.2273310826875,177.272597594028,26.1987119569459
"61",123,37542,2.55,47.2,16525,0.265776471324035,6,0.629316465500549,149.8741367069,81.2647503782148
"62",125,36615,2.65,42.7,1565,0.186662198391421,6,10.6233243967828,89.8123324396783,89.5846645367412
"63",127,50480,2.44,41.6,41988,0.213981862378459,4,27.6644551101073,213.426971579146,61.0412498809184
"64",129,37759,2.77,38.4,24033,0.15614154474311,5,5.06614031442621,205.814114550869,80.747305787875
"65",131,37725,2.74,40.3,10704,0.191703074598832,6,33.4953225610497,149.435062568339,65.8538863976084
"66",133,61326,2.4,50.2,11247,0.299729256250995,6,34.5462713387242,177.729110512129,62.8434249133102
"67",135,46886,3.11,35.3,415507,0.10876518495651,2,30.2212617684966,188.951160064507,40.2787437997434
"68",137,36691,2.75,39.7,20425,0.188394466523335,5,3.93991682152022,185.824263339527,81.4492044063648
"69",139,48759,3.04,36.7,90643,0.159885958246003,4,8.4280707328455,231.932047221422,70.8780600818596
"70",141,33557,1.97,45.6,4152,0.24134683305863,5,72.6823529411765,160.941176470588,27.7938342967245
"71",143,39401,2.57,40.4,14248,0.164763189941744,2,5.50526884625777,116.657660091867,86.5454800673779
"72",145,51168,2.72,42.9,19990,0.192488913525499,3,17.3001499596263,148.402353212597,71.6308154077038
"73",147,39402,2.47,44.1,12727,0.229569037339998,6,20.0877564373966,123.282398675956,74.3773080851733
"74",149,34362,2.57,41.9,5394,0.175478159191514,2,9.94484514212983,124.819686041578,83.7782721542455
"75",151,43812,2.98,36.9,122815,0.122874144326103,2,48.0464707774985,198.387784029149,39.2077514961527
"76",153,46579,2.67,35.4,74841,0.133589407282493,4,33.8398243592137,148.715208251511,55.4776125385818
"77",155,38364,2.77,39.7,4167,0.184830084158943,6,28.8623520631197,111.099264313893,75.1379889608831
"78",157,45099,2.95,38.1,37678,0.146786703237575,5,8.37129436473811,262.846438758568,78.3136047560911
"79",159,40541,2.69,43,7643,0.181039839812194,2,20.7616882194117,119.226943299702,76.1742771163156
"80",161,34341,2.82,36.6,5771,0.163347137316769,6,16.5969594370311,155.281152492863,81.3550511176573
"81",163,39544,2.72,40,7640,0.189624680683828,6,53.5153980244044,144.489637807476,46.3089005235602
"82",165,33497,2.57,44.3,3455,0.173107706380059,6,36.724706953454,122.453624672812,62.5470332850941
"83",167,27965,2.82,41.8,4099,0.198510396193235,5,35.0828444993311,151.692909334157,69.5047572578678
"84",169,41436,2.69,40.4,14948,0.183242435821725,4,25.9730277408986,130.494025574733,66.4971902595665
