"","countyFIPS","percap_personal_income_2020","household_size","median_age_2019","trump_votes","biden_votes","jorgensen_votes","total_votes","pop_65_plus_ratio","urban_code_2013","level_of_urban","perc_b","pop","all_deaths","total_deaths_per_1000","perc_trump"
"63",127,50480,2.44,41.6,25630,15868,490,41988,0.213981862378459,4,"Small metro",27.6644551101073,85008,18143,213.426971579146,61.0412498809184
"64",129,37759,2.77,38.4,19406,4383,244,24033,0.15614154474311,5,"Micropolitan",5.06614031442621,57756,11887,205.814114550869,80.747305787875
"65",131,37725,2.74,40.3,7049,3601,54,10704,0.191703074598832,6,"Noncore",33.4953225610497,24693,3690,149.435062568339,65.8538863976084
"66",133,61326,2.4,50.2,7068,4088,91,11247,0.299729256250995,6,"Noncore",34.5462713387242,17808,3165,177.729110512129,62.8434249133102
"67",135,46886,3.11,35.3,167361,242490,5656,415507,0.10876518495651,2,"large fringe metro",30.2212617684966,926414,175047,188.951160064507,40.2787437997434
"68",137,36691,2.75,39.7,16636,3554,235,20425,0.188394466523335,5,"Micropolitan",3.93991682152022,45204,8400,185.824263339527,81.4492044063648
"69",139,48759,3.04,36.7,64246,25061,1336,90643,0.159885958246003,4,"Small metro",8.4280707328455,201434,46719,231.932047221422,70.8780600818596
"70",141,33557,1.97,45.6,1154,2975,23,4152,0.24134683305863,5,"Micropolitan",72.6823529411765,8500,1368,160.941176470588,27.7938342967245
"71",143,39401,2.57,40.4,12331,1792,125,14248,0.164763189941744,2,"large fringe metro",5.50526884625777,29608,3454,116.657660091867,86.5454800673779
"72",145,51168,2.72,42.9,14319,5456,215,19990,0.192488913525499,3,"Medium metro",17.3001499596263,34676,5146,148.402353212597,71.6308154077038
"73",147,39402,2.47,44.1,9466,3155,106,12727,0.229569037339998,6,"Noncore",20.0877564373966,25981,3203,123.282398675956,74.3773080851733
"74",149,34362,2.57,41.9,4519,824,51,5394,0.175478159191514,2,"large fringe metro",9.94484514212983,11785,1471,124.819686041578,83.7782721542455
"75",151,43812,2.98,36.9,48153,73359,1303,122815,0.122874144326103,2,"large fringe metro",48.0464707774985,229994,45628,198.387784029149,39.2077514961527
"76",153,46579,2.67,35.4,41520,32262,1059,74841,0.133589407282493,4,"Small metro",33.8398243592137,155317,23098,148.715208251511,55.4776125385818
"77",155,38364,2.77,39.7,3131,1012,24,4167,0.184830084158943,6,"Noncore",28.8623520631197,9379,1042,111.099264313893,75.1379889608831
"78",157,45099,2.95,38.1,29507,7639,532,37678,0.146786703237575,5,"Micropolitan",8.37129436473811,70467,18522,262.846438758568,78.3136047560911
"79",159,40541,2.69,43,5822,1760,61,7643,0.181039839812194,2,"large fringe metro",20.7616882194117,14074,1678,119.226943299702,76.1742771163156
"80",161,34341,2.82,36.6,4695,1028,48,5771,0.163347137316769,6,"Noncore",16.5969594370311,15063,2339,155.281152492863,81.3550511176573
"81",163,39544,2.72,40,3538,4059,43,7640,0.189624680683828,6,"Noncore",53.5153980244044,15489,2238,144.489637807476,46.3089005235602
"82",165,33497,2.57,44.3,2161,1266,28,3455,0.173107706380059,6,"Noncore",36.724706953454,8787,1076,122.453624672812,62.5470332850941
"83",167,27965,2.82,41.8,2849,1222,28,4099,0.198510396193235,5,"Micropolitan",35.0828444993311,9717,1474,151.692909334157,69.5047572578678
"84",169,41436,2.69,40.4,9940,4896,112,14948,0.183242435821725,4,"Small metro",25.9730277408986,28622,3735,130.494025574733,66.4971902595665
"85",171,37303,2.71,37.8,6331,2610,94,9035,0.174809199937698,2,"large fringe metro",30.652012318148,18834,3283,174.312413719868,70.0719424460432
"86",173,31021,2.7,35.6,2512,1016,48,3576,0.147899785787464,4,"Small metro",23.704195936966,10534,1094,103.854186443896,70.2460850111857
"87",175,41650,2.7,38.9,14496,8071,161,22728,0.183869338272436,5,"Micropolitan",38.3111129862459,47404,8592,181.250527381656,63.7803590285111
"88",177,51908,2.73,37.2,12007,4558,149,16714,0.134484355361514,4,"Small metro",22.3104086093829,29735,3828,128.737178409282,71.8379801364126
"89",179,40087,2.59,28.4,7960,13131,331,21422,0.0999301631642435,4,"Small metro",46.4997823949451,62039,10938,176.308451135576,37.1580618056204
"90",181,40424,2.25,47.1,3173,1431,38,4642,0.252272444278421,3,"Medium metro",30.9118426031025,7929,861,108.588724933787,68.3541576906506
"91",183,29738,3.22,32.9,3526,2037,96,5659,0.105101383173863,4,"Small metro",28.1243501767519,19236,2229,115.876481597006,62.3078282382046
"92",185,41117,2.73,30.5,25727,20083,547,46357,0.1302127371732,4,"Small metro",38.2398914425092,116436,15231,130.810058744718,55.4975516103285
"93",187,41181,2.62,37,12163,3126,242,15531,0.184490727198268,6,"Noncore",2.89315035293405,33009,6564,198.854857766064,78.3143390638079
"94",193,33955,2.46,40.3,1799,2849,22,4670,0.186674008810573,6,"Noncore",62.554360265507,13107,1200,91.5541313801785,38.5224839400428
"95",195,38890,2.67,41.1,11326,3411,200,14937,0.17848113734117,4,"Small metro",9.79611126113962,29624,5966,201.390764245207,75.8251322219991
"96",197,31621,2.52,44.6,2275,1311,38,3624,0.210427430718647,3,"Medium metro",31.3609467455621,8450,959,113.491124260355,62.7759381898455
"97",189,41111,2.62,37.7,6146,4174,132,10452,0.187080616198847,3,"Medium metro",41.581012894786,21404,2982,139.319753317137,58.8021431305013
"98",191,34500,2.33,49.4,4018,2610,68,6696,0.289566970181414,4,"Small metro",35.788140958008,14217,1971,138.636843215868,60.0059737156511
"99",199,39121,2.55,42.3,6524,4287,66,10877,0.210829710829711,2,"large fringe metro",40.7210626185958,21080,3253,154.316888045541,59.9797738346971
"100",201,49844,2.46,43.5,2066,747,20,2833,0.223052294557097,6,"Noncore",31.2314410480349,5725,1291,225.502183406114,72.9262266148959
"101",205,39711,2.56,39,4935,3995,33,8963,0.174474585686511,6,"Noncore",47.6123595505618,22072,3108,140.81188836535,55.0596898359924
"102",207,48985,2.65,42.9,11058,4388,152,15598,0.198095713572498,4,"Small metro",23.4419959934438,27455,3900,142.050628300856,70.8937043210668
"103",209,34061,2.71,40,2960,980,27,3967,0.180758988015979,5,"Micropolitan",27.1584518690043,9069,1478,162.972764362113,74.6155785228132
"104",211,55032,2.71,44.6,8227,3357,122,11706,0.209309431656142,2,"large fringe metro",24.7291843670348,18832,2911,154.577315208156,70.2801981889629
"105",213,33841,2.79,38.2,12943,2305,144,15392,0.155300759392486,4,"Small metro",1.33705295433411,39789,9104,228.806956696574,84.0891372141372
"106",215,48080,2.6,34,30025,49493,986,80504,0.141380152920455,3,"Medium metro",49.1377457552528,195418,32061,164.063699352158,37.2962834144887
"107",217,38256,2.87,36.4,23888,29787,577,54252,0.135831237036056,2,"large fringe metro",47.6168798652524,109835,18108,164.865480038239,44.0315564403156
"108",219,71768,2.81,40.4,16596,8160,411,25167,0.162605777648089,4,"Small metro",5.99326427514415,39194,6924,176.659692810124,65.94349743712
"109",221,38236,2.61,42.4,5592,2437,102,8131,0.196450627315868,4,"Small metro",18.6170212765957,15040,2377,158.045212765957,68.773828557373
"110",223,42595,2.96,36,54512,29681,1154,85347,0.11341205244608,2,"large fringe metro",22.2926295305279,164440,26074,158.562393578205,63.8710206568479
"111",225,41931,2.47,37.9,6513,5926,125,12564,0.16737030411449,4,"Small metro",45.2876154461494,27502,3685,133.990255254163,51.8385864374403
"112",227,50868,2.57,45.4,14087,2816,233,17136,0.228122075648263,2,"large fringe metro",2.3436035247797,32002,5110,159.67752015499,82.2070494864612
"113",229,39979,2.68,39.4,7900,1099,49,9048,0.176467575043541,5,"Micropolitan",10.6071576334299,19336,2846,147.18659495242,87.3121131741821
"114",231,44311,2.92,40.4,9127,1504,88,10719,0.164740337848439,2,"large fringe metro",9.77646108268247,18565,2742,147.697279827633,85.147868271294
"115",233,36190,2.76,37,13581,3647,149,17377,0.159383753501401,5,"Micropolitan",13.5783768431516,42251,9254,219.024401789307,78.155032514243
"116",235,34636,2.55,43.1,2816,1231,37,4084,0.232418908051113,4,"Small metro",38.8198480107287,11185,1221,109.164059007599,68.9520078354554
"117",237,48498,2.46,46.2,8291,3448,116,11855,0.251420959147425,6,"Noncore",26.9195654158678,21906,3653,166.757965854104,69.9367355546183
"118",239,34810,2.44,47.3,604,497,5,1106,0.321003963011889,6,"Noncore",48.9519650655022,2290,242,105.676855895196,54.6112115732369
"119",241,44160,2.44,49.2,7473,1985,110,9568,0.286632316331847,6,"Noncore",2.01672697075746,16859,2805,166.37997508749,78.1040969899665
"120",243,37204,2.64,41,1391,1671,12,3074,0.261747979646812,6,"Noncore",64.4018583042973,6888,856,124.274099883856,45.2504879635654
"121",245,41999,2.65,34.1,26767,59142,1111,87020,0.149065464496558,3,"Medium metro",58.53703172452,202178,36443,180.252055119746,30.7595954952884
"122",247,40051,2.89,38.1,13129,31120,431,44680,0.152816723298035,2,"large fringe metro",58.1077033997005,90155,15086,167.334035827187,29.3845120859445
"123",249,35588,2.78,37.8,1800,462,13,2275,0.179368745188607,5,"Micropolitan",28.4372003835091,5215,527,101.054650047939,79.1208791208791
"124",251,37694,2.58,41.4,3936,2644,51,6631,0.202183842420782,6,"Noncore",41.6684553194534,13977,1843,131.859483437075,59.3575629618459
"125",253,48082,2.51,44.9,2613,1256,19,3888,0.241191066997519,6,"Noncore",36.274032611341,8218,1650,200.778778291555,67.2067901234568
"126",255,38792,2.63,39.2,18057,11784,275,30116,0.188818346337556,2,"large fringe metro",35.6782702178883,66043,10470,158.533076934724,59.958161774472
"127",257,40153,2.63,41.8,9369,2385,132,11886,0.202282912628797,5,"Micropolitan",12.8904141281715,25934,5901,227.539137811367,78.8238263503281
"128",259,25041,2.2,35.4,802,1181,7,1990,0.148901181043504,6,"Noncore",57.3844244492709,6446,2114,327.955321129383,40.3015075376884
"129",261,40387,2.4,35.7,5715,6324,99,12138,0.17618332081142,5,"Micropolitan",53.5269569899711,29714,3916,131.789728747392,47.0835392980722
"130",263,38621,2.3,50.1,1392,2114,16,3522,0.264854305713821,6,"Noncore",57.4539631705364,6245,943,151.000800640512,39.5229982964225
"131",265,36860,2.71,44.2,360,561,7,928,0.289372599231754,6,"Noncore",58.5213032581454,1596,184,115.288220551378,38.7931034482759
"132",267,30222,2.3,37.3,6055,2053,76,8184,0.152966686378869,6,"Noncore",29.9070573408948,25392,3455,136.06647763075,73.985826001955
"133",269,33630,2.34,45.2,2420,1388,34,3842,0.218726777309884,6,"Noncore",38.6044794486832,8126,1144,140.782672901797,62.9880270692348
"134",271,22644,2.6,41.5,2822,1491,21,4334,0.193523857803688,6,"Noncore",39.4430092621763,15871,1250,78.7600025203201,65.1130595293032
"135",273,44976,2.63,41.1,2009,2371,36,4416,0.205092103719348,4,"Small metro",58.3082967413913,8654,1186,137.046452507511,45.4936594202899
"136",275,49443,2.53,40.4,13027,8697,190,21914,0.191134048499053,5,"Micropolitan",37.6809967448647,44545,8851,198.697945897407,59.4460162453226
"137",277,42279,2.56,36.2,10782,5323,177,16282,0.156659053513102,5,"Micropolitan",30.7834441980783,40590,6282,154.767184035477,66.220366048397
"138",279,40041,2.56,36.4,7873,2941,104,10918,0.172246320394469,5,"Micropolitan",26.9380636063384,26947,5454,202.397298400564,72.1102766074373
"139",281,42908,2.22,54,6385,1549,45,7979,0.353474320241692,6,"Noncore",1.84511214557766,11815,2048,173.338975878121,80.0225592179471
"140",283,31899,2.39,40.1,2101,952,24,3077,0.184696569920844,6,"Noncore",29.3207602770001,6787,1137,167.526152939443,68.2807929801755
"141",285,40920,2.74,36.4,18146,11582,328,30056,0.15625089013587,5,"Micropolitan",37.3792709893716,70095,12066,172.137812968115,60.3739685919617
"142",287,39281,2.51,40.3,2349,1410,33,3792,0.191321999492515,6,"Noncore",41.0858585858586,7920,1113,140.530303030303,61.9462025316456
"143",289,44686,2.71,45.7,2366,2048,31,4445,0.236702455880538,4,"Small metro",42.1232458816351,8195,1042,127.150701647346,53.2283464566929
"144",291,39839,2.45,54.3,12652,2801,109,15562,0.345650287877593,6,"Noncore",1.01254218925789,23999,4307,179.465811075461,81.300604035471
"145",293,39391,2.52,42.1,8613,4199,96,12908,0.18954273004863,5,"Micropolitan",28.5426715788674,26329,4166,158.228569258232,66.7260613572978
"146",295,36157,2.62,41.4,23155,5770,412,29337,0.193279707912602,3,"Medium metro",5.21772961756823,69398,13620,196.259258191879,78.9276340457443
"147",297,44977,2.87,38.7,37858,12612,570,51040,0.162105806451613,2,"large fringe metro",18.8006517730801,93284,15880,170.232837356889,74.173197492163
"148",299,37306,2.38,39.5,9902,4174,117,14193,0.17827834533579,5,"Micropolitan",32.0632256259617,35745,5991,167.603860679815,69.7667864440217
"149",301,39545,2.26,45.1,1168,1466,16,2650,0.230886850152905,6,"Noncore",61.0192051720859,5259,654,124.358243011979,44.0754716981132
"150",303,39151,2.53,41.5,4670,4743,65,9478,0.181836228287841,6,"Noncore",54.4546170506005,20316,3233,159.13565662532,49.2719983118801
"151",305,34877,2.67,38.9,10001,2661,104,12766,0.165173367085235,5,"Micropolitan",22.4873994459094,29959,5728,191.194632664642,78.3409055303149
"152",307,36032,2.37,45.1,749,639,3,1391,0.242774566473988,6,"Noncore",33.977580208736,2587,252,97.4101275608813,53.8461538461538
"153",309,21087,3.42,38.8,1583,689,13,2285,0.155850857953812,6,"Noncore",39.1414461187793,7897,933,118.14613144232,69.2778993435449
"154",311,38858,2.46,46.1,12222,2411,183,14816,0.233292596642439,6,"Noncore",2.71343702022562,29962,6264,209.064815432882,82.4919006479482
"155",313,43456,2.84,36,25666,10677,443,36786,0.147067037761106,4,"Small metro",4.46303374887152,104122,27321,262.394114596339,69.771108573914
"156",315,29895,2.59,39.8,2403,861,16,3280,0.188779110797459,6,"Noncore",35.743018043903,8701,828,95.1614756924491,73.2621951219512
"157",317,42093,2.52,45.1,2822,2161,47,5030,0.241799050959356,6,"Noncore",43.3397978973155,9797,1126,114.933142798816,56.10337972167
"158",319,40158,2.77,42.6,2667,2067,31,4765,0.208465728551975,6,"Noncore",40.1229737283399,8945,1642,183.566238121856,55.9706190975866
"159",321,39102,2.55,41.6,6829,2398,60,9287,0.200530743040256,4,"Small metro",28.7574953307775,20346,2340,115.010321439104,73.532895445246
